#log(freq/freq_sun)   rel_sig		log(numax/numax_sun) 	rel_sig		
-4.2685         0.0427        -4.6324         0.0069        
-4.2787         0.0481        -4.6393         0.0101        
-4.2779         0.0391        -4.4214         0.0041        
-4.1038         0.0457        -4.3140         0.0057        
-4.3073         0.0686        -4.7453         0.0087        
-4.2478         0.0366        -4.4403         0.0044        
-3.0450         0.0284        -3.1751         0.0050        
-4.4323         0.0316        -4.6417         0.0071        
-3.3478         0.0211        -3.4950         0.0053        
-4.5308         0.0535        -4.6949         0.0077        
-4.0661         0.0380        -4.2252         0.0037        
-3.8391         0.0293        -3.8073         0.0028        
-3.4750         0.0156        -3.5095         0.0023        
-4.4092         0.0380        -4.5979         0.0054        
-4.3313         0.0511        -4.5869         0.0064        
-3.9492         0.0338        -4.2236         0.0061        
-4.5298         0.0422        -4.7706         0.0074        
-3.2577         0.0333        -3.3687         0.0027        
-3.2755         0.0418        -3.5252         0.0038        
-3.6345         0.0480        -3.6093         0.0032        
-3.3588         0.0620        -3.5622         0.0040        
-4.4802         0.0630        -4.6217         0.0119        
-3.8960         0.0312        -3.9184         0.0031        
-4.3965         0.0409        -4.6504         0.0185        
-3.9060         0.0278        -3.9398         0.0031        
-4.3687         0.0490        -4.6217         0.0093        
-4.2886         0.0550        -4.6392         0.0122        
-3.8513         0.0327        -3.8325         0.0030        
-3.4436         0.0362        -3.3929         0.0036        
-3.6755         0.0819        -3.9846         0.0170        
-3.9773         0.0411        -4.2199         0.0138        
-3.1296         0.0781        -3.5135         0.0115        
-3.9734         0.0207        -4.1684         0.0038        
-3.8827         0.0365        -4.2614         0.0077        
-4.0910         0.0243        -4.2035         0.0040        
-3.3069         0.0570        -3.6877         0.0028        
-3.6018         0.0207        -3.8562         0.0039        
-4.0103         0.0211        -4.2153         0.0040        
-3.9351         0.0379        -4.2317         0.0079        
-3.0244         0.0184        -3.1490         0.0021        
-3.9421         0.0300        -4.2074         0.0041        
-3.0641         0.0142        -3.2156         0.0016        
-3.5579         0.0251        -3.8099         0.0027        
-3.9398         0.0289        -4.2677         0.0046        
-3.9603         0.0317        -4.2457         0.0047        
-3.9864         0.0325        -4.4709         0.0069        
-3.9538         0.0319        -4.2230         0.0039        
-3.9598         0.0279        -4.2599         0.0049        
-3.9941         0.0447        -4.2800         0.0055        
-3.9934         0.0261        -4.2480         0.0044        
-4.0512         0.0448        -4.3323         0.0066        
-4.0571         0.0324        -4.3618         0.0054        
-2.7716         0.0089        -3.0071         0.0007        
-3.9311         0.0339        -4.2442         0.0066        
-3.2480         0.0232        -3.5116         0.0053        
-3.1449         0.0144        -3.3374         0.0025        
-3.0625         0.0210        -3.4359         0.0036        
-3.1989         0.0259        -3.3576         0.0021        
-3.7711         0.0254        -4.0635         0.0049        
-3.2171         0.0238        -3.5027         0.0061        
