#log(freq/freq_sun)   rel_sig		log(numax/numax_sun) 		rel_sig		log(mass)	rel_sig		feh	rel_sig
-4.2685         0.0427        -4.6324         0.0069           0.06           0.04         0.3196         0.0205
-4.2787         0.0481        -4.6393         0.0101          -0.05           0.05         0.3196         0.0205
-4.2779         0.0391        -4.4214         0.0041           0.09           0.03         0.3196         0.0205
-4.1038         0.0457        -4.3140         0.0057           0.11           0.03         0.3196         0.0205
-4.3073         0.0686        -4.7453         0.0087           0.04           0.04         0.3196         0.0205
-4.2478         0.0366        -4.4403         0.0044           0.05           0.03         0.3196         0.0205
-3.0450         0.0284        -3.1751         0.0050          -0.03           0.03         0.3196         0.0205
-4.4323         0.0316        -4.6417         0.0071           0.10           0.03         0.3196         0.0205
-3.3478         0.0211        -3.4950         0.0053           0.04           0.03         0.3196         0.0205
-4.5308         0.0535        -4.6949         0.0077          -0.18           0.03         0.3196         0.0205
-4.0661         0.0380        -4.2252         0.0037           0.14           0.03         0.3196         0.0205
-3.8391         0.0293        -3.8073         0.0028           0.23           0.04         0.3196         0.0205
-3.4750         0.0156        -3.5095         0.0023           0.04           0.02         0.3196         0.0205
-4.4092         0.0380        -4.5979         0.0054           0.09           0.03         0.3196         0.0205
-4.3313         0.0511        -4.5869         0.0064           0.11           0.03         0.3196         0.0205
-3.9492         0.0338        -4.2236         0.0061           0.36           0.04         0.3196         0.0205
-4.5298         0.0422        -4.7706         0.0074           0.02           0.03         0.3196         0.0205
-3.2577         0.0333        -3.3687         0.0027           0.10           0.02         0.3196         0.0205
-3.2755         0.0418        -3.5252         0.0038           0.03           0.03         0.3196         0.0205
-3.6345         0.0480        -3.6093         0.0032           0.08           0.04         0.3196         0.0205
-3.3588         0.0620        -3.5622         0.0040           0.05           0.03         0.3196         0.0205
-4.4802         0.0630        -4.6217         0.0119           0.12           0.04         0.3196         0.0205
-3.8960         0.0312        -3.9184         0.0031           0.09           0.04         0.3196         0.0205
-4.3965         0.0409        -4.6504         0.0185           0.13           0.06         0.3196         0.0205
-3.9060         0.0278        -3.9398         0.0031           0.08           0.03         0.3196         0.0205
-4.3687         0.0490        -4.6217         0.0093           0.09           0.04         0.3196         0.0205
-4.2886         0.0550        -4.6392         0.0122          -0.03           0.04         0.3196         0.0205
-3.8513         0.0327        -3.8325         0.0030           0.15           0.04         0.3196         0.0205
-3.4436         0.0362        -3.3929         0.0036           0.08           0.03         0.3196         0.0205
-3.6755         0.0819        -3.9846         0.0170          -0.21           0.06         0.3196         0.0205
-3.9773         0.0411        -4.2199         0.0138           0.44           0.05         0.0407         0.0253
-3.1296         0.0781        -3.5135         0.0115           0.66           0.04         0.0407         0.0253
-3.9734         0.0207        -4.1684         0.0038           0.61           0.02         0.0407         0.0253
-3.8827         0.0365        -4.2614         0.0077           0.41           0.03         0.0407         0.0253
-4.0910         0.0243        -4.2035         0.0040           0.42           0.03         0.0407         0.0253
-3.3069         0.0570        -3.6877         0.0028           0.88           0.02         0.0407         0.0253
-3.6018         0.0207        -3.8562         0.0039           0.79           0.02         0.0407         0.0253
-4.0103         0.0211        -4.2153         0.0040           0.43           0.02         0.0407         0.0253
-3.9351         0.0379        -4.2317         0.0079           0.42           0.03         0.0407         0.0253
-3.0244         0.0184        -3.1490         0.0021           0.47           0.02         0.0407         0.0253
-3.9421         0.0300        -4.2074         0.0041           0.40           0.03         0.0407         0.0253
-3.0641         0.0142        -3.2156         0.0016           0.47           0.02         0.0407         0.0253
-3.5579         0.0251        -3.8099         0.0027           0.63           0.02         0.0407         0.0253
-3.9398         0.0289        -4.2677         0.0046           0.41           0.03         0.0407         0.0253
-3.9603         0.0317        -4.2457         0.0047           0.40           0.03         0.0407         0.0253
-3.9864         0.0325        -4.4709         0.0069           0.28           0.03         0.0407         0.0253
-3.9538         0.0319        -4.2230         0.0039           0.41           0.02         0.0407         0.0253
-3.9598         0.0279        -4.2599         0.0049           0.41           0.03         0.0407         0.0253
-3.9941         0.0447        -4.2800         0.0055           0.43           0.03         0.0407         0.0253
-3.9934         0.0261        -4.2480         0.0044           0.34           0.03         0.0407         0.0253
-4.0512         0.0448        -4.3323         0.0066           0.41           0.03         0.0407         0.0253
-4.0571         0.0324        -4.3618         0.0054           0.40           0.03         0.0407         0.0253
-2.7716         0.0089        -3.0071         0.0007           0.44           0.02         0.0407         0.0253
-3.9311         0.0339        -4.2442         0.0066           0.41           0.03         0.0407         0.0258
-3.2480         0.0232        -3.5116         0.0053           0.82           0.03        -0.0852         0.0258
-3.1449         0.0144        -3.3374         0.0025           1.00           0.02        -0.0852         0.0258
-3.0625         0.0210        -3.4359         0.0036           0.93           0.02        -0.0852         0.0258
-3.1989         0.0259        -3.3576         0.0021           0.81           0.02        -0.0852         0.0258
-3.7711         0.0254        -4.0635         0.0049           0.90           0.03        -0.0852         0.0258
-3.2171         0.0238        -3.5027         0.0061           0.82           0.03        -0.0852         0.0258
